Denominazione,CodiceFiscale,CodiceABI,CodiceBIC,CodiceSellerBank,Attivo,AttivoMod12,AttivoMod3
Banca Popolare del Frusinate Societa' Cooperativa per Azioni,01781530603,05297,BPFRIT3F,,1,0,1
Banca Popolare dell'Alto Adige SCPA,00129730214,05856,BPAAIT2B,,1,1,1
Banca Popolare del Lazio Societa' Cooperativa,04781291002,05104,BPLZIT3V,,1,1,1
BANCA POPOLARE DEL MEDITERRANEO SOCIETA' COOPERATIVA PER AZIONI,03547120612,05038,BMEDITN1XXX,,1,0,1
Banca Popolare di Bari Societa' Cooperativa per Azioni,00254030729,05424,BPBAIT3B,,1,1,1
Banca Popolare di Cividale - Societa' Cooperativa per Azioni,00249360306,05484,CIVIIT2C,,1,0,1
Banca Popolare di Cortona Societa' Cooperativa per Azioni,00121760516,05496,POCSIT31XXX,,1,0,1
Banca Popolare di Fondi Societa' Cooperativa,00076260595,05296,POFOIT3F,,1,0,1
Banca Popolare di Lajatico Societa' Cooperativa per Azioni,00139860506,05232,BLJAIT3L,,1,0,1
Banca Popolare di Puglia e Basilicata Societa' Cooperativa per Azioni,00604840777,05385,BPDMIT3B,,1,0,1
Banca Popolare di Sondrio Societa' Cooperativa per Azioni,00053810149,05696,POSOIT22XXX,,1,1,1
Banca Popolare Etica Societa' Cooperativa per Azioni,02622940233,05018,CCRTIT2T84A,,1,0,1
Banca Popolare Pugliese Societa' Cooperativa per Azioni,02848590754,05262,BPPUIT33,,1,1,1
"Banca Popolare Sant'Angelo, Societa' Cooperativa per Azioni",00089160840,05772,PSANIT3P,,1,0,1
BANCA POPOLARE VALCONCA - SOCIETA' PER AZIONI,00125680405,05792,BPVMIT2R,,1,0,1
BANCA POPOLARE VESUVIANA SOCIETA' COOPERATIVA,06412660638,05602,POVEIT33,,1,0,1
BANCA PREALPI SANBIAGIO CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00254520265,08904,CCRTIT2TPRE,,1,1,1
Banca Promos SPA,03321720637,03265,PROSITNNXXX,,1,0,1
Banca Reale SPA,07760860010,03138,BRTOITTT,,1,0,1
BANCA REGIONALE DI SVILUPPO S.P.A.,07634270636,05023,BSVIITNN,,1,0,1
BANCA SAN FRANCESCO CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00097080840,08969,ICRAITRRQX0,,1,0,1
BANCA SAN GIORGIO QUINTO VALLE AGNO - CREDITO COOPERATIVO - SOC. COOP.,00232120246,08807,CCRTIT2TC11,,1,1,1
Banca Santa Giulia S.P.A.,01994680179,03367,SGIUIT21XXX,,1,0,1
BANCA SANTO STEFANO - CREDITO COOPERATIVO - MARTELLAGO-VENEZIA - SOCIETA' COOPERATIVA,00226370278,08990,ICRAITRRRI0,,1,0,1
Banca Sella SPA,02224410023,03268,SELBIT2B,,1,1,1
